word,paragraph
অভিসন্ধান,"শব্দ: অভিসন্ধান

রহস্য উদঘাটনের এক দুর্নিবার অভিসন্ধান আমাকে পেয়ে বসেছিল। পুরনো দিনের ডায়েরিটা হাতে নিয়ে বসতেই ধূসর পাতাগুলো যেন কথা বলতে শুরু করলো। আমার দাদু, পেশায় ছিলেন একজন উদ্ভিদবিদ, তাঁর জীবনের শেষ কয়েক বছর কাটিয়েছিলেন সুন্দরবনের গভীরে, নতুন কোনো প্রজাতির সন্ধানে। ডায়েরির প্রতিটা পাতায় ছিল অস্পষ্ট হাতে আঁকা কিছু গাছের ছবি আর কিছু সাংকেতিক ভাষায় লেখা বর্ণনা। প্রথমটায় কিছুই বুঝিনি, কিন্তু ধীরে ধীরে মনে হলো যেন কোনো গুপ্তধন লুকানো আছে এই শব্দগুলোর মধ্যে। দাদুর সেই অসমাপ্ত কাজ সম্পন্ন করার একটা তাগিদ অনুভব করলাম। শহরের আরামদায়ক জীবন ছেড়ে, অনিশ্চয়তার পথে পা বাড়ালাম, আমার হাতে শুধু দাদুর ডায়েরি আর মনে এক দুর্নিবার অভিসন্ধান - সেই রহস্যময় উদ্ভিদের খোঁজে। সুন্দরবনের গোলকধাঁধাঁয় ভরা পথে, প্রতিটি পদক্ষেপ যেন নতুন কোনো চ্যালেঞ্জ নিয়ে আসছিল। স্থানীয় মৎস্যজীবীদের থেকে জানতে পারলাম, গভীর জঙ্গলে এমন এক গাছের কথা শোনা যায়, যা নাকি রাতের বেলা আলো দেয়। আমার অভিসন্ধান আরও দৃঢ় হলো। দিনের পর দিন জঙ্গলের গভীরে, সেই আলো-দেওয়া গাছের খোঁজে চললাম, দাদুর অসমাপ্ত স্বপ্নকে বাস্তবে রূপ দেওয়ার আশায়।
"
অমসৃণ,"শব্দ: অমসৃণ

রাস্তাটা ছিল ভয়ানক রকমের অমসৃণ। এবড়োখেবড়ো পাথরের স্তূপ আর খানাখন্দে ভরা, যেন কোনো দৈত্যের নখের আঁচড়ে ক্ষতবিক্ষত। বর্ষার জল জমে সেই পথ আরও পিচ্ছিল হয়ে উঠেছিল, প্রতি পদে দুর্ঘটনার আশঙ্কা। অমসৃণ পথ যেন জীবনের প্রতিচ্ছবি, যেখানে মসৃণতার আড়ালে লুকিয়ে থাকে অপ্রত্যাশিত বন্ধুরতা। গ্রামের মানুষগুলো এই পথেই অভ্যস্ত, তাদের জীবনও যেন এই পথের মতোই অমসৃণ। অভাব আর কষ্টের ছাপ তাদের শরীরে স্পষ্ট, তবু তারা হাসিমুখে পথ চলে। ছোট ছেলেটি খালি পায়ে দৌড়াচ্ছিল, অসমান পাথরের খোঁচা তার পায়ে লাগছিল নিশ্চয়ই, কিন্তু তার ভ্রুক্ষেপ নেই। অমসৃণ পথ পায়ে হেঁটে পেরিয়ে সে তার বন্ধুদের কাছে পৌঁছাবে, এটাই তার আনন্দ। আমি ভাবছিলাম, এই অমসৃণতা হয়তো তাদের সহ্যক্ষমতা বাড়িয়েছে, প্রতিকূলতার সাথে লড়াই করার শক্তি জুগিয়েছে। শহরের মসৃণ রাস্তায় হাঁটা মানুষগুলোর চেয়ে তারা হয়তো বেশি শক্তিশালী, বেশি সহনশীল। অমসৃণ পথ জীবনের এক কঠিন বাস্তবতা, যা আমাদের শিখিয়ে যায় কিভাবে প্রতিকূলতাকে জয় করতে হয়।
"
অষ্টধর্ম,"অষ্টধর্ম

প্রাচীনকালে বৌদ্ধ ধর্মের ব্যাপক প্রভাব ছিল ভারতীয় উপমহাদেশে। এই বৌদ্ধ ধর্মের মূল ভিত্তি হলো অষ্টাঙ্গিক মার্গ, যা ""অষ্টধর্ম"" নামেও পরিচিত। এই অষ্টধর্ম হলো জীবনের দুঃখ দূর করার এবং নির্বাণ লাভের পথ। সঠিক ধারণা, সঠিক সংকল্প, সঠিক বাক্য, সঠিক আচরণ, সঠিক জীবিকা, সঠিক প্রচেষ্টা, সঠিক মননশীলতা এবং সঠিক একাগ্রতা - এই আটটি পথ অনুসরণ করে মানুষ মুক্তি লাভ করতে পারে। অষ্টধর্মের প্রথম ভাগ হল সঠিক ধারণা, যেখানে জীবনের দুঃখ এবং তার কারণ সম্পর্কে স্পষ্ট জ্ঞান লাভ করতে হয়। এরপর আসে সঠিক সংকল্প, যা লোভ, ঘৃণা ও মোহ থেকে মুক্তি পাওয়ার জন্য দৃঢ় প্রতিজ্ঞা করতে শেখায়। সৎ পথে জীবনযাপন করার জন্য অষ্টধর্মের এই নীতিগুলো মানব সমাজকে সঠিক পথের সন্ধান দেয়। এই আটটি পথ একটি অন্যটির সাথে অবিচ্ছেদ্যভাবে জড়িত, তাই একটিকে বাদ দিয়ে অন্যটি অনুসরণ করা সম্ভব নয়। অষ্টধর্মের গুরুত্ব আজও সমাজে বিদ্যমান, যা মানুষকে শান্তি ও সমৃদ্ধির পথে পরিচালিত করে। তাই বলা যায়, অষ্টধর্ম কেবল একটি ধর্মীয় দর্শন নয়, এটি একটি জীবনশৈলী।"
অন্ত্যেষ্টি,"শব্দ: অন্ত্যেষ্টি

গ্রামের পাশে বয়ে যাওয়া শীর্ণকায় নদীটির পাড়ে আজ ভিড়। আজ গ্রামের oldest মানুষটির অন্ত্যেষ্টি। নব্বই বছর বয়স কম নয়, তবে গ্রামের মানুষজনের কাছে তিনি ছিলেন বটবৃক্ষের মতো। তাই তাঁর প্রয়াণে শোকের ছায়া নেমে এসেছে। ছেলেরা নিয়ম মেনে সব কাজ করছে, পুরোহিত মন্ত্র পাঠ করছেন, আর আত্মীয় পরিজনেরা নীরবে অশ্রু বিসর্জন করছেন। অন্ত্যেষ্টির পূর্বে মহিলারা শেষবারের মতো তাঁকে দেখতে এলেন, সিঁদুর পরিয়ে, ধান দূর্বা দিয়ে শেষ বিদায় জানালেন। কেউ কেউ ফুঁপিয়ে উঠলেন, স্মৃতিরোমন্থন করলেন। মানুষটা সারা জীবন ধরে কত উপদেশ দিয়েছেন, কতজনের বিপদে আপদে ছুটে গিয়েছেন, সেসব কথা আজ বারবার তাদের মনে পড়ছে। ছেলেরা কাঁধে করে যখন তাঁকে শ্মশানের দিকে নিয়ে চলল, তখন মনে হচ্ছিল যেন গ্রামের অভিভাবককেই বিদায় জানানো হচ্ছে। শ্মশানে যখন তাঁর দেহ চিতায় তোলা হলো, তখন এক রাশ শূণ্যতা গ্রাস করলো চারপাশ। ধীরে ধীরে আগুন জ্বলে উঠলো, আর সেই আগুনের লেলিহান শিখার সাথে সাথে পুড়ে ছাই হয়ে গেল একটি জীবন, একটি ইতিহাস। অন্ত্যেষ্টির এই রীতিনীতি বড় কঠিন, বড় বাস্তব। তবুও জীবন তো থেমে থাকে না, তাই শোককে বুকে চেপে ধরে আবার নতুন করে পথ চলা শুরু করতে হয়।
"
অঙ্গ,"শব্দ: অঙ্গ

মানবদেহের প্রতিটি অঙ্গ তার নিজস্ব স্থানে গুরুত্বপূর্ণ, কোনো একটির অভাব ঘটলে জীবনযাত্রা ব্যাহত হতে পারে। হাত, পা, চোখ, নাক, কান—সবকিছু মিলেই একজন মানুষ সম্পূর্ণ হয়। আমাদের শরীরের প্রতিটি অঙ্গ-প্রত্যঙ্গ একে অপরের সাথে নিবিড়ভাবে যুক্ত। হৃদপিণ্ড রক্ত সঞ্চালন করে शरीरের প্রতিটি অংশে, মস্তিষ্ক দেয় নির্দেশ, আর পেশীগুলো সেই অনুযায়ী কাজ করে। কোনো কারণে একটি অঙ্গ ক্ষতিগ্রস্ত হলে তার প্রভাব অন্য অঙ্গের উপরও পড়ে। ছোটবেলায় পড়েছিলাম, ""অঙ্গহানি ভালো নয়""। কথাটা আজও মনে গেঁথে আছে। শুধুমাত্র শারীরিক অঙ্গ নয়, মানসিক অঙ্গেরও যত্ন নেওয়া প্রয়োজন। হাসি, কান্না, প্রেম, ভালোবাসা - এগুলো আমাদের মানসিক অঙ্গের অংশ। শরীর ও মন সুস্থ থাকলেই জীবন সুন্দর হয়ে ওঠে। তাই, প্রতিটি অঙ্গের প্রতি যত্নবান হওয়া আমাদের কর্তব্য। 
"
অত্যাচ্ছন্ন,"শব্দ: অত্যাচ্ছন্ন

বর্ষার মেঘে আকাশ আজ অত্যাচ্ছন্ন, যেন নেমে আসবে এখনই। চারদিকে থমথমে নীরবতা, শুধু মাঝে মাঝে বাতাসের একটা হালকা গুঞ্জন শোনা যাচ্ছে। গ্রামের মেঠো পথ জনমানবশূন্য, বৃষ্টি নামার ভয়ে সবাই আশ্রয় খুঁজেছে ঘরের ভেতরে। সবুজ ধানের ক্ষেতগুলো মেঘের ছায়ায় আরও গভীর দেখাচ্ছে, দিগন্তরেখা যেন কুয়াশার চাদরে ঢাকা পড়েছে। এমন দিনে মন কেমন যেন উদাস হয়ে যায়, স্মৃতির পাতাগুলো আপনা আপনিই খুলে যায়। ছোটবেলার কথা মনে পড়ে, যখন বৃষ্টিতে ভিজে কাগজের নৌকা ভাসাতাম, মায়ের বকুনি উপেক্ষা করে। আজ সেই দুরন্তপনা নেই, তবে বৃষ্টির প্রতি ভালোবাসাটা আজও আগের মতোই আছে। অত্যাচ্ছন্ন আকাশের দিকে তাকিয়ে ভাবি, সময় কত দ্রুত বদলে যায়, আর জীবন বয়ে চলে নদীর স্রোতের মতো। এই মেঘলা দিনে প্রকৃতির নীরবতা যেন এক গভীর শান্তির বার্তা নিয়ে আসে, যা শহরের কোলাহল থেকে অনেক দূরে, স্নিগ্ধ আর পবিত্র। বৃষ্টি নামার আগে মাটির সোঁদা গন্ধ জানান দিচ্ছে নতুন এক শুরুর, নতুন করে জেগে ওঠার। এই অত্যাচ্ছন্ন প্রকৃতি যেন এক নতুন জীবনের আশ্বাস দেয়।
"
অন্বয়বদ্ধ,"শব্দ: অন্বয়বদ্ধ

আলো ঝলমলে সকাল। শহরের কোলাহল কিছুটা দূরে সরিয়ে, নদীর পাড়ে এক পুরোনো বটগাছের নিচে আমি বসেছিলাম। চারপাশের সবকিছু কেমন যেন শান্ত, স্নিগ্ধ। দূরে মাঝিরা তাদের নৌকো নিয়ে ব্যস্ত, জেলেরা জাল ফেলছে, আর পাখিরা আপন মনে গান গেয়ে চলেছে। এই শান্ত প্রকৃতির মাঝে নিজেকে বড় একা মনে হচ্ছিল। জীবনের নানা জটিলতাগুলো যেন ক্রমশ ঘিরে ধরছিল। হঠাৎ মনে হল, সবকিছুকে একটা সূত্রে গাঁথা গেলে কেমন হয়! জীবনের এই যে ছোট ছোট মুহূর্তগুলো, আনন্দ-বেদনা, হাসি-কান্না - এদের মধ্যে একটা অন্বয়বদ্ধ সম্পর্ক তৈরি হওয়া প্রয়োজন। প্রতিটি ঘটনার একটা নিজস্ব তাৎপর্য আছে, এবং সেই তাৎপর্য অন্য ঘটনার সাথে সম্পর্কিত। আমরা অনেক সময় জীবনের এই অন্বয়বদ্ধতাকে উপেক্ষা করি, বিচ্ছিন্নভাবে সবকিছুকে বিচার করি। কিন্তু যদি আমরা সবকিছুকে একটি বৃহত্তর প্রেক্ষাপটে দেখি, তাহলে হয়তো জীবনের অনেক প্রশ্নের উত্তর খুঁজে পাওয়া যায়। প্রকৃতির দিকে তাকিয়ে আমি সেই অন্বয়বদ্ধতার সন্ধান করছিলাম। মনে হচ্ছিল, এই বিশাল universe-এর সবকিছুই যেন একটা নির্দিষ্ট নিয়ম মেনে চলছে, একে অপরের সাথে গভীরভাবে সম্পর্কযুক্ত। আমার জীবনের ঘটনাগুলোও নিশ্চয়ই এর বাইরে নয়। এই উপলব্ধি আমাকে শান্তি এনে দিল। মনে হল, আমি একা নই, আমি এই প্রকৃতিরই একটা অংশ, এবং আমার জীবনের প্রতিটি মুহূর্ত এই বৃহত্তর অন্বয়ের সাথে জড়িত।
"
অচিরজীবী,"অচিরজীবী

বসন্তের শুরুতে কৃষ্ণচূড়া গাছগুলো যেন লালে লালে ভরে ওঠে, মনে হয় আগুন লেগেছে। কিন্তু এই সৌন্দর্য অচিরজীবী, ক্ষণস্থায়ী। কয়েক সপ্তাহ যেতে না যেতেই ফুলের প্রাচুর্য কমে আসে, লাল রং ফিকে হয়ে যায়। প্রকৃতির এই খেয়ালে মন বিষণ্ণ হয়ে ওঠে। আমরা মানুষরাও তো এই পৃথিবীর বুকে অচিরজীবী। আমাদের জীবন কৃষ্ণচূড়ার মতোই ক্ষণকালের জন্য রঙিন হয়ে আসে, আবার সময়ের স্রোতে মিলিয়ে যায়। তাই জীবনকে উপভোগ করতে হয় প্রতিটি মুহূর্তে। দুঃখ, কষ্ট, বেদনা—সবকিছুকে জয় করে সামনের দিকে এগিয়ে যেতে হয়। কারণ, জীবন একটাই এবং তা খুবই অল্প সময়ের জন্য। অচিরজীবী এই জীবনের প্রতিটি মুহূর্ত মূল্যবান। আমাদের উচিত হাসি-খুশি আর ভালোবাসার মধ্যে বেঁচে থাকা। ভবিষ্যতের জন্য সুন্দর স্মৃতি তৈরি করাই জীবনের সার্থকতা। নতুবা কালের গর্ভে সবকিছু বিলীন হয়ে যাবে, পড়ে থাকবে শুধু শূন্যতা।
"
অগ্রযাত্রা,"**অগ্রযাত্রা**

গ্রামের মেঠো পথ ধরে আজ আমাদের **অগ্রযাত্রা** শুরু। দূর্গম পথ, তবুও মনে এক অদম্য সাহস। আমরা চলেছি নতুন দিগন্তের খোঁজে, যেখানে সম্ভাবনা অফুরান। আমাদের এই **অগ্রযাত্রা** শুধু পথের নয়, এটি আমাদের স্বপ্নের **অগ্রযাত্রা**, আমাদের আত্মবিশ্বাসের **অগ্রযাত্রা**। দীর্ঘদিনের জমানো ইচ্ছেগুলো আজ ডানা মেলতে চাইছে। পথের দু'ধারে সবুজ ধানের ক্ষেত, যেন হাতছানি দিয়ে ডাকছে। পাখির কলকাকলি আর নদীর কুলকুল ধ্বনি আমাদের পথ চলার ক্লান্তি ভুলিয়ে দিচ্ছে। এই **অগ্রযাত্রা** আমাদের শিখিয়েছে কিভাবে প্রতিকূলতাকে জয় করতে হয়। আমরা বিশ্বাস করি, আমাদের এই সম্মিলিত **অগ্রযাত্রা** একদিন সাফল্যের স্বর্ণ শিখরে পৌঁছাবে। এই পথ হয়তো কঠিন, বন্ধুর, কিন্তু আমাদের সংকল্প অটুট। আমরা নতুন দিনের আলো দেখবই, এই **অগ্রযাত্রা** আমাদের সেই স্বপ্ন দেখায়।
"
অভিনন্দনবাণী,"শব্দ: অভিনন্দনবাণী

অনুচ্ছেদ:

আজ প্রভাতে ঘুম ভাঙতেই মনটা আনন্দে ভরে উঠলো। মনে পড়ে গেল, আজ আমার ছোট বোনের graduation ceremony। তাকে অভিনন্দন জানানোর জন্য আমি একটি সুন্দর অভিনন্দনবাণী লিখেছি। যদিও আমি জানি, কয়েকটি শব্দ দিয়ে তার এই দীর্ঘ পথচলার কষ্ট এবং সাফল্যকে পুরোপুরি প্রকাশ করা সম্ভব নয়, তবুও আমি চেষ্টা করেছি। 

সকালে অনুষ্ঠানস্থলে পৌঁছে দেখলাম চারিদিকে উৎসবের আমেজ। মঞ্চে একের পর এক ছাত্রছাত্রীদের নাম ঘোষণা করা হচ্ছে, আর তারা হাসি মুখে diploma গ্রহণ করছে। আমার বোন যখন মঞ্চে উঠলো, তখন আমি দূর থেকে তার চোখেমুখে সাফল্যের আলো দেখতে পেলাম। 

অনুষ্ঠান শেষে আমি তাকে আমার লেখা অভিনন্দনবাণীটি উপহার দিলাম। সে যখন সেটি পড়ছিল, তার চোখ অশ্রুসিক্ত হয়ে উঠেছিল। আসলে, এই অভিনন্দনবাণী শুধু কয়েকটি শব্দ নয়, এটি আমার বোনের প্রতি আমার ভালোবাসা, শ্রদ্ধা আর তার ভবিষ্যৎ জীবনের জন্য শুভকামনা। আমি বিশ্বাস করি, জীবনের প্রতিটি পদক্ষেপে সে সফল হবে এবং আমাদের পরিবারের মুখ উজ্জ্বল করবে। তার এই অর্জনে আমরা গর্বিত, এবং আমাদের হৃদয় তার জন্য অফুরান ভালোবাসায় পরিপূর্ণ। আমি মনে প্রাণে বিশ্বাস করি, তার ভবিষ্যৎ জীবনেও সে সাফল্যের নতুন শিখরে পৌঁছাবে।
"
অবিতর্কিত,"অবিতর্কিত বিষয়গুলো সাধারণত আলোচনার বাইরে থাকে, কারণ সেগুলোর সত্যতা বা বাস্তবতা নিয়ে কোনো প্রশ্ন তোলার অবকাশ থাকে না। আমাদের চারপাশে এমন অনেক কিছুই আছে যা অবিবাহিত সত্যের মতো বিরাজমান। সূর্য পূর্ব দিকে ওঠে - এটি একটি অনস্বীকার্য এবং **অবিবর্তিত** সত্য। একইভাবে, অভিকর্ষজ বলের প্রভাবে কোনো জিনিস উপর থেকে নীচে পড়েই, এই বিষয়েও কারো দ্বিমত নেই। ছোটবেলার কিছু স্মৃতি আমাদের মনে গেঁথে থাকে যা নিয়ে কোনো বিতর্ক চলে না, সেগুলো যেন এক একটি উজ্জ্বল তারা। মায়ের হাতের রান্না পৃথিবীর সেরা, এই অনুভূতি আমার কাছে **অবিবর্তিত**। দেশের প্রতি ভালোবাসা, মানুষের প্রতি মমত্ববোধ এগুলোও এক প্রকার **অবিবর্তিত** মূল্যবোধ। তবে, সব **অবিবর্তিত** বিষয় সবার কাছে সমানভাবে গুরুত্বপূর্ণ নাও হতে পারে। সময়ের সাথে সাথে অনেক **অবিবর্তিত** ধারণা পরিবর্তিতও হয়ে যায়। বিজ্ঞান নতুন নতুন আবিষ্কারের মাধ্যমে পুরনো অনেক **অবিবর্তিত** ধারণাকে ভুল প্রমাণ করে। তাই, আপাতদৃষ্টিতে যা **অবিবর্তিত** মনে হয়, তার পেছনেও যুক্তি ও প্রমাণের অনুসন্ধান জরুরি। জীবনের পথচলায় এই **অবিবর্তিত** সত্যগুলোই আমাদের পথ দেখায়, আবার কখনো নতুন করে ভাবতে শেখায়।
"
অলংকারাশ্রিত,"অলংকারাশ্রিত

প্রাচীনকালে রাজবাড়ির অন্দরমহলে অলংকারাশ্রিত এক সংস্কৃতি বিদ্যমান ছিল। রানি ও রাজকুমারীগণ মূল্যবান রত্ন এবং অলংকারে নিজেদের সজ্জিত করতেন, যা তাঁদের আভিজাত্যের প্রতীক হিসেবে বিবেচিত হত। অলংকারাশ্রিত এই জীবনে সৌন্দর্য এবং চাকচিক্যের প্রতি আকর্ষণ ছিল প্রবল। তবে এই অলংকার শুধুমাত্র সৌন্দর্য বৃদ্ধির জন্য ব্যবহৃত হত না, বরং এটি সামাজিক মর্যাদা এবং ক্ষমতারও পরিচায়ক ছিল। বিশেষ অনুষ্ঠানে রানিদের অলংকারাশ্রিত রূপ রাজসভার সকলের দৃষ্টি আকর্ষণ করত। অলংকারের নকশা, কারুকার্য তাদের রুচি এবং শিল্পীমনের পরিচয় বহন করত। সময়ের সাথে সাথে অলংকারাশ্রিত এই সংস্কৃতিতে পরিবর্তন এসেছে, তবে এর কিছু প্রভাব আজও আমাদের সমাজে বিদ্যমান। এখন বিয়ে বা উৎসবে নারীদের অলংকার ব্যবহারের আগ্রহ দেখা যায়। তবে আধুনিক জীবনে অলংকার এখন আর শুধু আভিজাত্যের প্রতীক নয়, এটি ব্যক্তিগত পছন্দ এবং ফ্যাশনের অংশ। অলংকারাশ্রিত জীবনযাপন এখন সরলতার মাঝেও সৌন্দর্য খুঁজে নিতে শেখায়।
"
অনভিজাত,"শব্দ: অনভিজাত

গ্রামের মেঠো পথ ধরে হেঁটে চলেছি, শহরের চাকচিক্য থেকে বহু দূরে এক অনভিজাত পরিবেশে। চারদিকে সবুজের সমারোহ, দিগন্ত বিস্তৃত ধানক্ষেত বাতাসে ঢেউ খেলছে। এই দৃশ্য বড়ই শান্ত, বড়ই স্নিগ্ধ। শহরের কৃত্রিম জৌলুসের বিপরীতে এখানে সবকিছুই যেন আপন মহিমায় উজ্জ্বল। এখানকার মানুষগুলোর জীবনযাপন সহজ সরল, কোনো জটিলতা নেই। তাদের পোশাকে আড়ম্বর নেই, কথাবার্তায় নেই কোনো কৃত্রিমতা। অনভিজাত এই মানুষগুলোর হৃদয় ভালোবাসায় পরিপূর্ণ। তারা অল্পতেই খুশি, অন্যের দুঃখে সহজেই ব্যথিত হয়। গ্রামের শিশুরা ধূলোমাখা শরীরে খেলা করে, তাদের হাসিতে কোনো ভেজাল নেই। সন্ধ্যায় গ্রামের বধূরা একসাথে পুকুরঘাটে যায়, গল্প করে, গান গায়। এই অনভিজাত জীবনযাত্রা হয়তো অনেকের কাছে আকর্ষণীয় নয়, কিন্তু এর ভেতরে লুকিয়ে আছে পরম শান্তি ও প্রকৃতির সান্নিধ্য, যা শহরের জীবনে দুর্লভ। আমি শহরের কোলাহল ছেড়ে মাঝে মাঝে এখানে আসি একটু শান্তি আর প্রকৃতির ছোঁয়া পেতে। এই অনভিজাত পরিবেশ আমাকে নতুন করে বাঁচার প্রেরণা যোগায়।
"
অবগামী,"অবগাহী

বৃষ্টিস্নাত দুপুরে শহরের বিষণ্ণতা আরও গাঢ় হয়ে ওঠে, যেন আকাশ ভেঙে নেমে আসা জলধারা সবকিছু ধুয়ে মুছে দিতে চাইছে। রিকশা চালক Karim মিয়া অন্য দিনের চেয়ে আজ অলস, যাত্রী নেই বললেই চলে। cercanos পথের পাশে পুরোনো বটগাছটার নিচে আশ্রয় নিয়েছে সে, দেখছে রাস্তায় জমে থাকা জলের দিকে। জলের স্রোতে কাগজের ঠোঙা, আধখাওয়া খাবারের প্যাকেট—সব যেন একাকার হয়ে ভেসে যাচ্ছে। Karim মিয়ার মনে পড়ে ছোটবেলার কথা, যখন গ্রামের পাশে ছোট্ট নদীতে ডুব দিয়ে ঘণ্টার পর ঘণ্টা কাটিয়ে দিত। সে ছিল দুরন্ত, অবাধ, জলের মতোই অবগাহী। সময়ের স্রোতে আজ সে ক্লান্ত, জীবনের ভারে ন্যুব্জ। শহরের এই যান্ত্রিক জীবনে তার সেই অবাধ বিচরণ আজ বন্দী। তবুও, যখন বৃষ্টি নামে, Karim মিয়া যেন সেই হারিয়ে যাওয়া দিনগুলোর ঘ্রাণ পায়। জলের স্পর্শে তার মলিন মুখে এক চিলতে হাসি ফুটে ওঠে। হয়তো এই বৃষ্টিই তাকে মনে করিয়ে দেয়, জীবন থেমে থাকার নয়, নদীর মতো অবগাহী হয়ে বয়ে যাওয়াই তার ধর্ম। Karim মিয়া জানে, বৃষ্টি থামলেই তাকে আবার পথে নামতে হবে, কিন্তু ক্ষণিকের জন্য হলেও সে যেন তার শিকড়ে ফিরে যায়, যেখানে সে ছিল মুক্ত, অবগাহী। এই অনুভূতিটুকুই তাকে নতুন করে বাঁচার প্রেরণা দেয়।
"
অর্ধাঙ্গী,"শব্দ: অর্ধাঙ্গী

বর্ষার বিকেলে বারান্দায় বসে মেঘ দেখছিল রুমালী। আজকের মেঘগুলো বড়োই অন্যরকম, যেন তার জীবনের প্রতিচ্ছবি। হঠাৎ করেই মনে পড়লো অর্ধাঙ্গীর কথা। বিয়ের পর সুদীর্ঘ ২৫ বছর একসঙ্গে কাটিয়েছেন তারা। সুখ-দুঃখ, হাসি-কান্না সবকিছুর সাক্ষী তারা একে অপরের। রুমালী ভাবছিলো, জীবনটা সত্যিই একটা জটিল ধাঁধা। এই তো সেদিন, যখন কলেজে প্রথম আলাপ, তারপর প্রেম, তারপর একসঙ্গে ঘর বাঁধার স্বপ্ন। অর্ধাঙ্গী সবসময় তার পাশে থেকেছে, বন্ধুর মতো সাহস জুগিয়েছে, আবার মায়ের মতো আগলে রেখেছে। কঠিন সময়ে হাল ধরতে শিখিয়েছে, আবার সাফল্যের দিনে প্রথম করতালিটা তারই ছিল। সংসারের প্রতিটি কাজে তার সমান অধিকার, সমান দায়িত্ব। রুমালী আজ বুঝতে পারে, অর্ধাঙ্গী শুধু একজন জীবনসঙ্গী নয়, সে তার জীবনের শ্রেষ্ঠ বন্ধু, পথপ্রদর্শক এবং সবচেয়ে বড় আশ্রয়। তার শূন্যতা আজ প্রতি মুহূর্তে অনুভব করে রুমালী, যেন শরীরের একটা দিক অবশ হয়ে গেছে। অর্ধাঙ্গীর স্মৃতিগুলো আজও তার মনে উজ্জ্বল, যা তাকে বেঁচে থাকার নতুন প্রেরণা দেয়। 
"
অলংকারবাহুল্য,"অলংকারবাহুল্য

নববর্ষের সকালে রোদ ঝলমলে আকাশ। প্রকৃতি আজ সেজে উঠেছে নতুন রূপে। শহরের পার্কগুলোতে মানুষের ঢল নেমেছে, সবার মনে আনন্দের ঢেউ। রমনার বটমূলে সাংস্কৃতিক অনুষ্ঠানে শিল্পীরা একের পর এক গান গেয়ে চলেছেন। তবে আজ সবকিছুতেই কেমন যেন একটা অতিরিক্ত আড়ম্বর চোখে পড়ছে। মনে হচ্ছে, কোথাও যেন একটু বেশি জাঁকজমক করার চেষ্টা চলছে। এই যেমন, মঞ্চের অলংকারবাহুল্য চোখ ধাঁধিয়ে দিচ্ছে, তবে তা অনুষ্ঠানের মূল সুর থেকে দর্শকদের মনকে খানিকটা সরিয়ে দিচ্ছে। শিল্পীর পোশাক থেকে শুরু করে বাদ্যযন্ত্রের সজ্জা—সবকিছুতেই অতিরিক্ত চাকচিক্য। আমার মনে হল, এত অলংকারবাহুল্য না করে যদি বিষয়বস্তুর গভীরতার দিকে নজর দেওয়া যেত, তাহলে হয়তো অনুষ্ঠানটি আরও বেশি হৃদয়গ্রাহী হত। অতিরিক্ত অলংকার প্রায়শই মূল বিষয় থেকে আমাদের মনোযোগ অন্যদিকে সরিয়ে দেয়। জীবনের সরলতা এবং স্বাভাবিক সৌন্দর্য অনেক ক্ষেত্রেই অলংকারবাহুল্যের নিচে চাপা পড়ে যায়। তাই আমার মনে হয়, যেকোনো অনুষ্ঠানে অথবা জীবনে, পরিমিতিবোধ বজায় রাখাটা খুব জরুরি। অতিরিক্ত অলংকারবাহুল্য অনেক সময় কৃত্রিমতা তৈরি করে, যা উপভোগের আনন্দকে কমিয়ে দেয়। বরং অল্পতেই যদি হৃদয় ছুঁয়ে যাওয়া যায়, সেটাই তো সার্থকতা।
"
